Type,Name,Sun Exposure,Soil PH,Soil type,Soil drainage,Water Requirement,Row Spacing (inches),Plant Spacing (inches),Depth (inches),Image Url,Description
Vegetable,"Artichoke, globe","Full Sun, Partial Sun","Acidic, Neutral, Alkaline","Clay, Loam",Well Drained,"Drought Tolerant, Average",36,24,0.25,https://s3-us-west-2.amazonaws.com/plntr-assets/artichoke.jpg,"Artichoke is a handsome herbaceous edible perennial with large gray spined leaves and purple thistle-like flowers in autumn. Native to the Mediterranean region, artichoke is tender and often best grown as an annual in colder hardiness zones. Bees and butterflies love the flowers of this plant."
Vegetable,Asparagus,Full Sun,"Neutral, Alkaline","Loam, Sand",Well Drained,Average,36,12,6,https://s3-us-west-2.amazonaws.com/plntr-assets/asparagus.jpg,"Asparagus is one of the few truly perennial vegetables. It is a clump-forming herbaceous perennial native to the seacoast of Europe, Asia and North Africa. Over time its clumps spread very slowly via rhizomes (underground stems). Mature asparagus is ferny in appearance, however it is not a true fern. The much sought after luscious, asparagus spears are immature or unexpanded stems. Asparagus is dioecious, separate male and female plants, the male plants tend to produce more spears than the females."
Herb,Basil,Full Sun,Neutral,"Loam, Sand",Well Drained,Average,9,5,0.25,https://s3-us-west-2.amazonaws.com/plntr-assets/asparagus.jpg,Companion to tomatoes. Dislikes rue intensely. Improves growth and flavor. Repels flies and mosquitoes
Vegetable,"Bean, bush",Full Sun,"Neutral, Alkaline","Loam, Sand",Well Drained,Average,18,4,1.5,https://s3-us-west-2.amazonaws.com/plntr-assets/bean-bush.jpg,"Bush Beans are very prolific and can stand erect without support. They yield well and requires minimal work. Green bush beans were formerly called ""string beans"" because fiber developed along the seams of the pods."
Vegetable,"Bean, lima",Full Sun,"Neutral, Alkaline","Loam, Sand",Well Drained,Average,18,4,1.5,https://s3-us-west-2.amazonaws.com/plntr-assets/bean-lima.jpg,"Sometimes called ""butter beans"" because of their starchy yet buttery texture, lima beans have a delicate flavor that complements a wide variety of dishes."
Vegetable,"Bean, pole",Full Sun,"Neutral, Alkaline","Loam, Sand",Well Drained,Average,36,4,1.5,https://s3-us-west-2.amazonaws.com/plntr-assets/bean-pole.jpg,"Pole bean flavor is far better than even the best bush beans — they're sweeter and starchier. Pole beans have a longer harvest window and can be harvested upright — giving your back a break!
"
Herb,Bee balm,"Full Sun, Partial Shade",Neutral,Loam,Well Drained,Average,,2,,https://s3-us-west-2.amazonaws.com/plntr-assets/bee-balm.jpg,Companion to tomatoes. Improves growth and flavor.
Vegetable,Beet,Full Sun,Neutral,"Loam, Sand",Well Drained,Average,12,2,0.5,https://s3-us-west-2.amazonaws.com/plntr-assets/beet.jpg,"Beets are wonderfully colorful root vegetables. Standard red-rooted forms have rich red roots with brilliant magenta juice that stains everything. Usually grown as annuals, beets are actually biennials, which means they generate large roots and lush foliage in the first year and flower, set seed and die in the second. The flowers are unimpressive but produce lots of seed that can be saved from year to year. Beets originate from Europe where they have been cultivated for hundreds of years."
Herb,Borage,"Full Sun, Partial Sun",Neutral,Loam,Well Drained,Average,,,,https://s3-us-west-2.amazonaws.com/plntr-assets/borage.jpg,"Companion to tomatoes, squash, and strawberries. Deters tomato worms. Improves growth and flavor."
Vegetable,Broccoli,"Full Sun, Partial Sun",Neutral,"Loam, Sand",Well Drained,Average,24,24,0.25,https://s3-us-west-2.amazonaws.com/plntr-assets/broccoli.jpg,"One of the most familiar green vegetables, broccoli (also known as Italian or sprouting broccoli) is an excellent choice for the garden. Typically grown as an annual, this cool season vegetable traces its ancestry to Brassica oleracea, a fleshy-leaved, short-lived perennial from coastal areas of western and southern Europe. It is grown for its fleshy heads of flower buds, which are harvested and eaten before the flowers open."
Vegetable,Brussels sprout,"Full Sun, Partial Sun",Neutral,"Loam, Sand",Well Drained,Average,24,24,0.25,https://s3-us-west-2.amazonaws.com/plntr-assets/brussels-sprout.jpg,"The Brussels sprout is a cool season vegetable first cultivated in late medieval or renaissance Europe in what is now Belgium, then called Flanders. It was brought to the United States in the mid-nineteenth century and began to be heavily cultivated there in the mid-twentieth century. Typically grown as an annual, it traces its ancestry to Brassica Oleracea, a fleshy-leaved, short-lived perennial from coastal areas of western and southern Europe."
