zone_id,plant_id,start_seed_indoors,plant_outdoors,spring_planting,fall_planting
1,"Artichoke, globe",Crown pieces,,May - June,August - October
1,Asparagus,1 year,March - April,,
1,Beet,,March - June,,
1,Broccoli,6 weeks prior to planting,May - June,,
1,Brussels Sprout,6 weeks prior to planting,May - June,,
1,Cabbage,6 weeks prior to planting,"
",January - April,July - September
1,Carrot,,January - June,,
1,Cauliflower,6 weeks prior to planting,,January,June
1,Celery,9 weeks prior to planting,March - June,,
1,"Chard, swiss",,February - May,,
1,"Cabbage, Chinese",4 weeks prior to planting,July - August,,
1,Chives,6 weeks prior to planting,April - May,,
1,Corn,,April - May,,
1,Cucumber,4 weeks prior to planting,April - June,,
1,"Cucumber
(pickling)",4 weeks prior to planting,May,,
1,Dill,,May,,
1,Endive,6 weeks prior to planting,March - July,,
1,Garlic,,September - October,,
1,Kale,,May - July,,
1,Kohlrabi,,July - August,,
1,Leek,,February - April,,
1,"Lettuce, head",5 weeks prior to planting,February - July,,
1,"Lettuce, leaf",5 weeks prior to planting,February - August,,
1,Onion,10 weeks prior to planting,January - May,,
1,Parsley,10 weeks prior to planting,December - May,,
1,Parsnip,,May - June,,
1,Peas,,January - August,,
1,Pepper,10 weeks prior to planting,May,,
1,Potato,,February - May,,
1,Pumpkin,4 weeks prior to planting,May,,
1,Radish,,January - December,,
1,Rhubarb,Crown pieces,December - January,,
1,Rutabaga,,June - July,,
1,Spinach,,August - February,,
1,"Squash, summer",4 weeks prior to planting,May,,
1,"Squash, winter",4 weeks prior to planting,May,,
1,Tomato,8 weeks prior to planting,May - June,,
1,Turnip,,,January,August
2,"Artichoke, globe",Crown pieces,,April - June,August - November
2,Asparagus,1 year,February - March,,
2,"Bean, lima",,May - June,,
2,"Bean, snap",,May - July,,
2,Beet,,March - June,,
2,Broccoli,6 weeks prior to planting,March - August,,
2,Brussels Sprout,6 weeks prior to planting,May - July,,
2,Cabbage,6 weeks prior to planting,April - June,,
2,Cantaloupe,4 weeks prior to planting,May,,
2,Carrot,,March - July 15,,
2,Cauliflower,6 weeks prior to planting,April - July 15,,
2,Celery,9 weeks prior to planting,March - July,,
2,"Chard, swiss",,April - July,,
2,"Cabbage, Chinese",4 weeks prior to planting,August,,
2,Chives,6 weeks prior to planting,March - May,,
2,Corn,,April - June,,
2,Cucumber,4 weeks prior to planting,May - June,,
2,"Cucumber
(pickling)",4 weeks prior to planting,May - June,,
2,Dill,,May,,
2,Eggplant,9 weeks prior to planting,May,,
2,Endive,6 weeks prior to planting,April - August 15,,
2,Garlic,,September - February,,
2,Kale,,May - July,,
2,Kohlrabi,,April - August 15,,
2,Leek,,March - May,,
2,"Lettuce, head",5 weeks prior to planting,April - July,,
2,"Lettuce, leaf",5 weeks prior to planting,April - August,,
2,Onion,10 weeks prior to planting,March - May,,
2,Parsley,10 weeks prior to planting,March - June,,
2,Parsnip,,April - May,,
2,Peas,,February - May,,
2,Pepper,10 weeks prior to planting,May - June,,
2,Potato,,April - June,,
2,Pumpkin,4 weeks prior to planting,May,,
2,Radish,,March - September,,
2,Rhubarb,Crown pieces,March - April,,
2,Rutabaga,,June - July,,
2,Spinach,,,April,September
2,"Squash, summer",4 weeks prior to planting,May - June,,
2,"Squash, winter",4 weeks prior to planting,May,,
2,Tomato,8 weeks prior to planting,May,,
2,Turnip,,April - September,,
2,Watermelon,4 weeks prior to planting,May,,
3,Asparagus,,April 15 - May 1,,
3,"Bean, bush",,May 15 - July 1,,
3,"Bean, pole",,May 15 - July 1,,
3,"Bean, dry shell",,May 15,,
3,"Bean, lima",,May 15 - June 10,,
3,Beet,,April 15 - July 1,,
3,Broccoli,March 1 - 15,,April 15,June 1
3,Brussels Sprout,March 1 - 15,,April 15,June 1
3,Cabbage,March 1 - 15,April - May,,
3,"Cabbage, late",April 15 - May 1,June 1,,
3,"Cabbage, Chinese",,July 1,,
3,Carrot,,April 15 - June 15,,
3,Cauliflower,March 1 - 15,April 15 or June 1,,
3,Celery,February 15 - March 1,May 15,,
3,"Chard, swiss, Swiss",,May 1,,
3,Collard,,April 15,,
3,Cucumber,,May 1 - June 15,,
3,Eggplant,March 15 - April 1,June 1,,
3,Endive,,April 15,,
3,Garlic,,October 1 - November 1,,
3,Horseradish,,April 15 - May 1,,
3,Kale,,April 15 - July 15,,
3,Kohlrabi,,,April 15 - June 1,August 1 - 15
3,"Lettuce, leaf",,,April 15 - June 1,August 1 - 15
3,"Lettuce, head",March 1 - 15,April 15 - May 1,,
3,Muskmelon,,May 15 - June 1,,
3,Okra,March 15 - April 1,June 1,,
3,Onion seeds,,April 15,,
3,Onion,February 1 - 15,April 15,,
3,"Onion, sets",,April 15,,
3,Parsley,,April 15 - May 1,,
3,Parsnip,,May 1 - 15,,
3,Peas,,April 10 - May 15,,
3,Pepper,March 15 - April 1,June 1,,
3,Potato,,April 15 - June 1,,
3,Sweet Potato,April 15 (roots),June 1,,
3,Pumpkin,,May 10 - June 1,,
3,Radish,,,April 10 - June 1,August 1 - 15
3,Rhubarb,,April 15 - May 1,,
3,Rutabaga,,May 15 - June 15,,
3,Spinach,,,April 15,August 1 - 15
3,"Squash, summer",,May 10 - June 1,,
3,"Squash, winter",,May 10 - June 1,,
3,Corn,,May 10 - July 1,,
3,Tomato,April 1 - 15,May 15 - June 1,,
3,Turnip,,,April 15,August 1
3,Watermelon,,May 15 - June 1,,
4,Asparagus,,April 15 - May 1,,
4,"Bean, bush",,May 15 - July 1,,
4,"Bean, pole",,May 15 - July 1,,
4,"Bean, dry shell",,May 15,,
4,"Bean, lima",,May 15 - June 10,,
4,Beet,,April 15 - July 1,,
4,Broccoli,March 1 - 15,,April 15,June 1
4,Brussels Sprout,March 1 - 15,,April 15,June 1
4,Cabbage,March 1 - 15,April - May,,
4,"Cabbage, late",April 15 - May 1,June 1,,
4,"Cabbage, Chinese",,July 1,,
4,Carrot,,April 15 - June 15,,
4,Cauliflower,March 1 - 15,April 15 or June 1,,
4,Celery,February 15 - March 1,May 15,,
4,"Chard, swiss, Swiss",,May 1,,
4,Collard,,April 15,,
4,Cucumber,,May 1 - June 15,,
4,Eggplant,March 15 - April 1,June 1,,
4,Endive,,April 15,,
4,Garlic,,October 1 - November 1,,
4,Horseradish,,April 15 - May 1,,
4,Kale,,April 15 - July 15,,
4,Kohlrabi,,,April 15 - June 1,August 1 - 15
4,"Lettuce, leaf",,,April 15 - June 1,August 1 - 15
4,"Lettuce, head",March 1 - 15,April 15 - May 1,,
4,Muskmelon,,May 15 - June 1,,
4,Okra,March 15 - April 1,June 1,,
4,Onion seeds,,April 15,,
4,Onion,February 1 - 15,April 15,,
4,"Onion, sets",,April 15,,
4,Parsley,,April 15 - May 1,,
4,Parsnip,,May 1 - 15,,
4,Peas,,April 10 - May 15,,
4,Pepper,March 15 - April 1,June 1,,
4,Potato,,April 15 - June 1,,
4,Sweet Potato,April 15 (roots),June 1,,
4,Pumpkin,,May 10 - June 1,,
4,Radish,,,April 10 - June 1,August 1 - 15
4,Rhubarb,,April 15 - May 1,,
4,Rutabaga,,May 15 - June 15,,
4,Spinach,,,April 15,August 1 - 15
4,"Squash, summer",,May 10 - June 1,,
4,"Squash, winter",,May 10 - June 1,,
4,Corn,,May 10 - July 1,,
4,Tomato,April 1 - 15,May 15 - June 1,,
4,Turnip,,,April 15,August 1
4,Watermelon,,May 15 - June 1,,
5,Asparagus,,April 5 - 25,,
5,"Bean, bush",,,April 25 - May 30,July 25 - August 5
5,"Bean, pole",,May 10 - 20,,
5,"Bean, lima",,May 10 - 25,,
5,Beet,,,April 1 - 15,August 1 - September 25
5,Broccoli,,,March 25 - April 5,September 25 - 30
5,Cabbage,,,April 1 - 20,September 20 - 30
5,Cantaloupe,,May 10 - 20,,
5,Carrot,,,March 25 - April 10,September 20 - 30
5,Cauliflower,,,April 1 - 20,September 20 - 30
5,Collard,,March 20 - April 10,,
5,Corn,,May 1 - July 20,,
5,Cucumber,,May 10 - 30,,
5,Eggplant,,May 15 - 25,,
5,Kale,,March 25 - April 5,,
5,Kohlrabi,,,April 1 - 15,September 20 - 25
5,"Lettuce, leaf",,,April 1 - May 15,September 1 - 15
5,Mustard,,,March 25 - May 1,August 1 - 30
5,Okra,,May 10 - 25,,
5,Onion,,,March 25 - April 15,September 1 - December 31
5,"Peas, garden",,March 25 - April 10,,
5,Peas,,May 1 - 15,,
5,Pepper,,May 15 - 30,,
5,Potato,,April 1 - 15,,
5,Sweet Potato,,May 15 - June 5,,
5,Radish,,,March 25 - May 1,August 1 - 20
5,Spinach,,,April 1 - 20,August 10 - September 20
5,"Squash, bush",,May 15 - 30,,
5,"Squash, winter",,May 15 - 30,,
5,Tomato,,May 15 - 30,,
5,Turnip,,,March 25 - May 1,August 5 - September 20
5,Watermelon,,May 10 - 20,,
6,Asparagus,,April 5 - 25,,
6,"Bean, bush",,,April 25 - May 30,July 25 - August 5
6,"Bean, pole",,May 10 - 20,,
6,"Bean, lima",,May 10 - 25,,
6,Beet,,,April 1 - 15,August 1 - September 25
6,Broccoli,,,March 25 - April 5,September 25 - 30
6,Cabbage,,,April 1 - 20,September 20 - 30
6,Cantaloupe,,May 10 - 20,,
6,Carrot,,,March 25 - April 10,September 20 - 30
6,Cauliflower,,,April 1 - 20,September 20 - 30
6,Collard,,March 20 - April 10,,
6,Corn,,May 1 - July 20,,
6,Cucumber,,May 10 - 30,,
6,Eggplant,,May 15 - 25,,
6,Kale,,March 25 - April 5,,
6,Kohlrabi,,,April 1 - 15,September 20 - 25
6,"Lettuce, leaf",,,April 1 - May 15,September 1 - 15
6,Mustard,,,March 25 - May 1,August 1 - 30
6,Okra,,May 10 - 25,,
6,Onion,,,March 25 - April 15,September 1 - December 31
6,"Peas, garden",,March 25 - April 10,,
6,Peas,,May 1 - 15,,
6,Pepper,,May 15 - 30,,
6,Potato,,April 1 - 15,,
6,Sweet Potato,,May 15 - June 5,,
6,Radish,,,March 25 - May 1,August 1 - 20
